epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.742,0.91942,1.54258,1.38088,0.76252,0.72708,0.78873,0.60068,0.85823,1.92547,1.45328,0.00332724,0.00332724,0.00332724
2,435.941,0.92448,1.02691,1.36446,0.80235,0.72374,0.80232,0.58048,0.93702,1.18453,1.5288,0.00659463,0.00659463,0.00659463
3,647.475,1.0398,1.14982,1.45316,0.62601,0.58893,0.63386,0.41825,1.2045,3.14217,1.89738,0.00979603,0.00979603,0.00979603
4,863.193,1.095,1.24446,1.49719,0.6899,0.59758,0.69269,0.45936,1.08312,2.64925,1.71037,0.009703,0.009703,0.009703
5,1071.84,1.06941,1.17587,1.4755,0.73596,0.6706,0.72876,0.52143,0.98707,3.96263,1.59015,0.009604,0.009604,0.009604
6,1279.65,1.0412,1.12018,1.44994,0.79977,0.62547,0.73836,0.52906,0.97671,1.94564,1.54882,0.009505,0.009505,0.009505
7,1488.54,1.00309,1.03772,1.41656,0.87587,0.70304,0.82576,0.61676,0.90686,2.21117,1.48465,0.009406,0.009406,0.009406
8,1698.52,0.97798,0.99509,1.397,0.87618,0.74798,0.8512,0.64772,0.86905,1.56031,1.46147,0.009307,0.009307,0.009307
9,1910.49,0.96363,0.96482,1.38135,0.8364,0.79699,0.86515,0.65909,0.84853,1.48009,1.41962,0.009208,0.009208,0.009208
10,2118.74,0.93994,0.9133,1.36459,0.84257,0.79667,0.87106,0.66521,0.81443,1.16992,1.36363,0.009109,0.009109,0.009109
11,2321.23,0.92682,0.89481,1.35796,0.88151,0.81368,0.8858,0.68803,0.83252,1.21703,1.39164,0.00901,0.00901,0.00901
12,2523.59,0.90691,0.85768,1.33924,0.84206,0.7987,0.86137,0.67603,0.79594,0.98954,1.36152,0.008911,0.008911,0.008911
13,2737.05,0.9017,0.85959,1.33476,0.86281,0.8145,0.88301,0.70338,0.75411,1.32572,1.29338,0.008812,0.008812,0.008812
14,231.463,0.87524,0.82148,1.32114,0.90273,0.82792,0.89811,0.71781,0.75124,1.28058,1.30597,0.008713,0.008713,0.008713
15,449.532,0.86751,0.81596,1.31107,0.90276,0.80778,0.88678,0.69348,0.79741,0.87966,1.33626,0.008614,0.008614,0.008614
16,655.791,0.87211,0.80806,1.31805,0.86716,0.84537,0.89774,0.7219,0.74161,0.99936,1.30097,0.008515,0.008515,0.008515
17,864.989,0.851,0.77152,1.29782,0.88698,0.8178,0.89968,0.72104,0.72276,0.85761,1.27563,0.008416,0.008416,0.008416
18,1071.16,0.85085,0.7711,1.30182,0.86234,0.86402,0.90392,0.72674,0.73477,0.71184,1.2966,0.008317,0.008317,0.008317
19,1276.47,0.84893,0.76495,1.29568,0.88808,0.83831,0.90098,0.72305,0.74758,0.90481,1.29057,0.008218,0.008218,0.008218
20,1484.75,0.83363,0.73703,1.28773,0.91484,0.81652,0.90427,0.7418,0.69248,1.07873,1.2329,0.008119,0.008119,0.008119
21,1689.57,0.81883,0.72983,1.2742,0.89224,0.85594,0.90739,0.73021,0.73715,1.04507,1.28996,0.00802,0.00802,0.00802
21,213.499,0.80964,0.70184,1.26992,0.88913,0.85777,0.9048,0.74204,0.72147,1.06316,1.26263,0.00802,0.00802,0.00802
22,421.433,0.80464,0.70122,1.26329,0.8908,0.86222,0.91036,0.74291,0.71477,0.7866,1.2557,0.007921,0.007921,0.007921
23,629.421,0.80893,0.70331,1.26944,0.91871,0.84041,0.91163,0.75089,0.70129,0.95464,1.256,0.007822,0.007822,0.007822
24,836.827,0.78945,0.67408,1.2504,0.90466,0.8479,0.90613,0.73785,0.69909,0.78166,1.23779,0.007723,0.007723,0.007723
25,1043.9,0.78899,0.66555,1.25423,0.90564,0.86458,0.91793,0.75642,0.66436,0.83524,1.21166,0.007624,0.007624,0.007624
26,1251.38,0.7904,0.67075,1.25043,0.87233,0.86598,0.90683,0.74221,0.69033,0.88562,1.22238,0.007525,0.007525,0.007525
27,1456.35,0.77785,0.64769,1.24555,0.88988,0.86239,0.90982,0.7456,0.67667,0.95408,1.22025,0.007426,0.007426,0.007426
28,1667.49,0.79513,0.67636,1.25517,0.89739,0.86116,0.9088,0.741,0.70299,1.04018,1.24035,0.007327,0.007327,0.007327
29,1882.11,0.7991,0.67526,1.25604,0.9037,0.88155,0.92541,0.75767,0.67954,0.58549,1.22299,0.007228,0.007228,0.007228
30,2093.91,0.78037,0.65917,1.24657,0.91611,0.84829,0.92419,0.76603,0.67366,0.73884,1.21453,0.007129,0.007129,0.007129
31,2302.86,0.77875,0.6489,1.24142,0.90134,0.88047,0.91818,0.76025,0.65545,0.875,1.20121,0.00703,0.00703,0.00703
32,2507.89,0.77638,0.64072,1.24048,0.91765,0.87408,0.92471,0.77103,0.66106,0.99468,1.2027,0.006931,0.006931,0.006931
33,218.633,0.74423,0.61173,1.21901,0.90587,0.88148,0.92261,0.77142,0.65423,0.60256,1.18702,0.006832,0.006832,0.006832
34,429.225,0.74461,0.61599,1.21904,0.9128,0.87136,0.92506,0.77829,0.65455,0.67684,1.19889,0.006733,0.006733,0.006733
35,641.769,0.74864,0.61123,1.22432,0.92313,0.86121,0.92528,0.77665,0.65814,0.8232,1.20108,0.006634,0.006634,0.006634
36,855.49,0.7322,0.58451,1.20673,0.89704,0.8903,0.92593,0.77549,0.64779,0.64449,1.18284,0.006535,0.006535,0.006535
37,1067.5,0.7316,0.58813,1.21117,0.91477,0.87165,0.92477,0.77678,0.64987,0.65762,1.19289,0.006436,0.006436,0.006436
38,1279.44,0.73445,0.58964,1.20881,0.92093,0.86153,0.92613,0.76924,0.6548,0.89826,1.18774,0.006337,0.006337,0.006337
39,1488.2,0.72527,0.57267,1.20551,0.92366,0.86745,0.92487,0.77553,0.63142,0.80282,1.17572,0.006238,0.006238,0.006238
40,1696.7,0.7327,0.58571,1.21111,0.91247,0.86207,0.92809,0.7757,0.6432,0.71878,1.18642,0.006139,0.006139,0.006139
41,1907.45,0.73809,0.59263,1.21116,0.93228,0.86228,0.93048,0.7784,0.6423,0.61925,1.18895,0.00604,0.00604,0.00604
42,2113.1,0.72635,0.57493,1.2064,0.90619,0.89647,0.93403,0.78187,0.63697,0.89305,1.19133,0.005941,0.005941,0.005941
43,2319.13,0.72041,0.56588,1.19899,0.90404,0.88362,0.92767,0.77979,0.63791,0.77667,1.18222,0.005842,0.005842,0.005842
44,2527.07,0.71807,0.56329,1.19834,0.9271,0.86614,0.91962,0.77772,0.63816,0.93107,1.17934,0.005743,0.005743,0.005743
45,2735.57,0.73584,0.58587,1.21055,0.94548,0.84915,0.93252,0.78355,0.62817,0.91406,1.17086,0.005644,0.005644,0.005644
46,2945.54,0.73283,0.59107,1.21583,0.89386,0.88732,0.92357,0.77594,0.62643,0.75411,1.1622,0.005545,0.005545,0.005545
47,3153.17,0.73473,0.58652,1.21177,0.91101,0.88319,0.92873,0.7901,0.61317,0.61361,1.15309,0.005446,0.005446,0.005446
