epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.587,0.94447,1.48318,1.40001,0.76769,0.70486,0.78794,0.59709,0.8624,1.52444,1.44544,0.00332724,0.00332724,0.00332724
2,434.864,0.90191,0.99359,1.34854,0.82233,0.74043,0.81156,0.59875,0.90692,1.05641,1.49508,0.00659463,0.00659463,0.00659463
3,638.75,0.99969,1.10587,1.42351,0.75434,0.64386,0.73326,0.4957,1.07192,3.02337,1.72804,0.00979603,0.00979603,0.00979603
4,841.062,1.05176,1.16313,1.46044,0.72792,0.66494,0.73909,0.51448,1.00081,1.72855,1.59497,0.009703,0.009703,0.009703
5,1049.74,1.02829,1.11009,1.43815,0.82333,0.73727,0.8022,0.56798,0.99158,1.87164,1.59035,0.009604,0.009604,0.009604
6,1255.43,1.00214,1.06749,1.41371,0.73838,0.76041,0.82174,0.61171,0.88328,2.33535,1.45805,0.009505,0.009505,0.009505
7,1468.24,0.96891,0.99129,1.39086,0.80621,0.75172,0.82526,0.62383,0.88109,1.34941,1.43342,0.009406,0.009406,0.009406
8,1675.11,0.94774,0.9509,1.37014,0.84699,0.8,0.86134,0.64964,0.8721,1.8853,1.44299,0.009307,0.009307,0.009307
9,1883.06,0.94216,0.93035,1.36356,0.86045,0.78035,0.86424,0.66437,0.83402,1.34199,1.42196,0.009208,0.009208,0.009208
10,2089.9,0.91828,0.8855,1.34965,0.84708,0.82231,0.88154,0.67894,0.80583,1.74022,1.37931,0.009109,0.009109,0.009109
11,2298.28,0.89826,0.85753,1.33445,0.88193,0.79432,0.87931,0.69267,0.79069,1.22916,1.33646,0.00901,0.00901,0.00901
12,2504.35,0.89024,0.83178,1.32461,0.88316,0.81959,0.87852,0.69462,0.79875,1.20229,1.34009,0.008911,0.008911,0.008911
13,2709.25,0.88004,0.82415,1.3178,0.87242,0.8196,0.88178,0.70393,0.76038,1.21268,1.30872,0.008812,0.008812,0.008812
14,2913.97,0.86755,0.80393,1.3148,0.86802,0.83773,0.89657,0.7046,0.78057,1.18717,1.31794,0.008713,0.008713,0.008713
15,3118.4,0.85866,0.78693,1.30173,0.86944,0.82809,0.89373,0.71352,0.7564,0.9022,1.3035,0.008614,0.008614,0.008614
16,3320.18,0.84913,0.77216,1.29403,0.88114,0.82822,0.90192,0.72229,0.73958,1.10812,1.27683,0.008515,0.008515,0.008515
17,3526.64,0.8404,0.76573,1.29159,0.88124,0.85199,0.90669,0.73022,0.72682,1.00578,1.2706,0.008416,0.008416,0.008416
18,3731.9,0.83222,0.74376,1.27745,0.89416,0.85133,0.90249,0.72625,0.72903,0.98991,1.27818,0.008317,0.008317,0.008317
