epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.587,0.94447,1.48318,1.40001,0.76769,0.70486,0.78794,0.59709,0.8624,1.52444,1.44544,0.00332724,0.00332724,0.00332724
2,434.864,0.90191,0.99359,1.34854,0.82233,0.74043,0.81156,0.59875,0.90692,1.05641,1.49508,0.00659463,0.00659463,0.00659463
3,638.75,0.99969,1.10587,1.42351,0.75434,0.64386,0.73326,0.4957,1.07192,3.02337,1.72804,0.00979603,0.00979603,0.00979603
4,841.062,1.05176,1.16313,1.46044,0.72792,0.66494,0.73909,0.51448,1.00081,1.72855,1.59497,0.009703,0.009703,0.009703
5,1049.74,1.02829,1.11009,1.43815,0.82333,0.73727,0.8022,0.56798,0.99158,1.87164,1.59035,0.009604,0.009604,0.009604
6,1255.43,1.00214,1.06749,1.41371,0.73838,0.76041,0.82174,0.61171,0.88328,2.33535,1.45805,0.009505,0.009505,0.009505
7,1468.24,0.96891,0.99129,1.39086,0.80621,0.75172,0.82526,0.62383,0.88109,1.34941,1.43342,0.009406,0.009406,0.009406
8,1675.11,0.94774,0.9509,1.37014,0.84699,0.8,0.86134,0.64964,0.8721,1.8853,1.44299,0.009307,0.009307,0.009307
9,1883.06,0.94216,0.93035,1.36356,0.86045,0.78035,0.86424,0.66437,0.83402,1.34199,1.42196,0.009208,0.009208,0.009208
10,2089.9,0.91828,0.8855,1.34965,0.84708,0.82231,0.88154,0.67894,0.80583,1.74022,1.37931,0.009109,0.009109,0.009109
11,2298.28,0.89826,0.85753,1.33445,0.88193,0.79432,0.87931,0.69267,0.79069,1.22916,1.33646,0.00901,0.00901,0.00901
12,2504.35,0.89024,0.83178,1.32461,0.88316,0.81959,0.87852,0.69462,0.79875,1.20229,1.34009,0.008911,0.008911,0.008911
13,2709.25,0.88004,0.82415,1.3178,0.87242,0.8196,0.88178,0.70393,0.76038,1.21268,1.30872,0.008812,0.008812,0.008812
14,2913.97,0.86755,0.80393,1.3148,0.86802,0.83773,0.89657,0.7046,0.78057,1.18717,1.31794,0.008713,0.008713,0.008713
15,3118.4,0.85866,0.78693,1.30173,0.86944,0.82809,0.89373,0.71352,0.7564,0.9022,1.3035,0.008614,0.008614,0.008614
16,3320.18,0.84913,0.77216,1.29403,0.88114,0.82822,0.90192,0.72229,0.73958,1.10812,1.27683,0.008515,0.008515,0.008515
17,3526.64,0.8404,0.76573,1.29159,0.88124,0.85199,0.90669,0.73022,0.72682,1.00578,1.2706,0.008416,0.008416,0.008416
18,3731.9,0.83222,0.74376,1.27745,0.89416,0.85133,0.90249,0.72625,0.72903,0.98991,1.27818,0.008317,0.008317,0.008317
18,210.751,0.82666,0.73561,1.27909,0.88296,0.84191,0.89371,0.71238,0.84687,0.72208,1.45773,0.008317,0.008317,0.008317
19,417.518,0.82139,0.7371,1.27366,0.89213,0.84818,0.90314,0.72011,0.82975,0.6207,1.43483,0.008218,0.008218,0.008218
20,620.733,0.82641,0.73224,1.28168,0.88084,0.8491,0.91301,0.74291,0.77967,0.64495,1.39395,0.008119,0.008119,0.008119
21,826.507,0.8061,0.70503,1.25937,0.87331,0.85842,0.90333,0.72705,0.78609,0.62967,1.37285,0.00802,0.00802,0.00802
22,1026.67,0.8072,0.70312,1.2669,0.8892,0.87252,0.91303,0.74843,0.76325,0.60825,1.35716,0.007921,0.007921,0.007921
23,1224.51,0.80915,0.69489,1.26268,0.88565,0.87476,0.91159,0.74468,0.78322,0.58724,1.37669,0.007822,0.007822,0.007822
24,1426,0.79427,0.67723,1.25424,0.87077,0.89385,0.92043,0.75655,0.73402,0.58242,1.3348,0.007723,0.007723,0.007723
25,1625.88,0.7851,0.67224,1.24576,0.91996,0.85123,0.917,0.75285,0.7564,0.55778,1.35451,0.007624,0.007624,0.007624
26,1826.09,0.78828,0.66534,1.2445,0.89322,0.88998,0.92128,0.75929,0.74785,0.54936,1.3441,0.007525,0.007525,0.007525
27,2024.71,0.77857,0.65772,1.24191,0.89741,0.87768,0.92214,0.76349,0.73331,0.56509,1.34101,0.007426,0.007426,0.007426
28,2225.57,0.77047,0.64832,1.23464,0.91197,0.88191,0.92616,0.7625,0.74878,0.56606,1.35163,0.007327,0.007327,0.007327
29,2422.75,0.76425,0.63278,1.229,0.907,0.87491,0.92288,0.76058,0.75872,0.57301,1.36866,0.007228,0.007228,0.007228
